          18
       40500
 non-polarized
    2.72500000    2.72500000    0.00000000
    2.72500000    0.00000000    2.72500000
    0.00000000    2.72500000    2.72500000
rcell x   rcell y   rcell z   i   j   H   S
  -10.9000  -10.9000  -10.9000       6       9   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       6      10    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6      13    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       6      14    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6      15    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       6      16   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       6      17    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       6      18    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       7       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       5    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       6    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       7    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       8    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7       9    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      14    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      15   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      16   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      17   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       7      18   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       5   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       8       6   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       8       7    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       8    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8       9    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      14    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       8      15    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       8      16   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      17   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       8      18   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       5    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       6   -0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       9       7    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       8    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9       9    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      14   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      15    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000       9      16   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      17   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000       9      18   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       5    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       6    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       7   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       8   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10       9   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      14    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      15    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      16   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      17   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      10      18   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      11       1    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       2    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       3    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       4    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       5   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      11       6    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       7    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       8    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11       9    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      10    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      11    0.00000000    0.00000000   -0.00000000
