          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620       8       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8       5    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       8       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       8       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8      10   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       8      14    0.00000001    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       8      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       8      16   -0.00000005    0.00000000    0.00000004
  -10.8620  -10.8620  -10.8620       8      17   -0.00000004    0.00000000    0.00000003
  -10.8620  -10.8620  -10.8620       8      18   -0.00000005    0.00000000    0.00000004
  -10.8620  -10.8620  -10.8620       9       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       5   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       9       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9      10   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9      14   -0.00000001    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620       9      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620       9      16   -0.00000005    0.00000000    0.00000004
  -10.8620  -10.8620  -10.8620       9      17   -0.00000005    0.00000000    0.00000004
  -10.8620  -10.8620  -10.8620       9      18   -0.00000004    0.00000000    0.00000003
  -10.8620  -10.8620  -10.8620      10       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       5    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       6    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      10   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      14    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      15    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      16   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      17   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      10      18   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      11       1    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       2    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       3    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       5   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      11       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       7    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      10    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      12    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      14   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      11      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      16    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      11      18    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       1    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       2    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       3    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       5    0.00000000    0.00000000   -0.00000000
